Country,Inhabitants
Belgium,11455519
Bulgaria,7000039
Czechia,10649800
Denmark,5806081
Germany,83019213
Estonia,1324820
Ireland,4904240
Greece,10724599
Spain,46937060
France,67012883
Croatia,4076246
Italy,60359546
Cyprus,875899
Latvia,1919968
Lithuania,2794184
Luxemburg,613894
Hungaria,9772756
Malta,493559
Netherlands,17282163
Austria,8858775
Poland,37972812
Portugal,10276617
Romania,19414458
Slovenia,2080908
Slowakei,5450421
Finland,5517919
Sweden,10230185
United Kingdom,66647112
Iceland,356991
Liechtenstein,38378
Norway,5328212
Switzerland,8544527
Montenegro,622182
North Macedonnia,2077132
Albania,2862427
Serbia,6963764
Turkey,82003882
Andorra,76177
Belarus,9475174
Kosovo,1795666
Ukraine,41983564
Armenia,2965269
Azerbaijan,9981457
Georgia,3723464
US,328000000
