;0;1;2
0;2020-04-13;1000;98
1;2020-04-20;1000;28
2;2020-05-03;1000;49
3;2020-05-05;1000;48
4;2020-05-12;1000;16
5;2020-05-19;1000;14
6;2020-04-20;10000;17
7;2020-04-28;10000;18
8;2020-03-23;1002;11
9;2020-04-01;1002;12
10;2020-04-20;1002;14
11;2020-03-20;1003;18
12;2020-03-23;1003;23
13;2020-04-09;1003;13
14;2020-03-18;10041;23
15;2020-03-23;10041;31
16;2020-04-20;10041;13
17;2020-04-28;10041;15
18;2020-03-22;10042;14
19;2020-03-26;10043;18
20;2020-03-29;10043;15
21;2020-04-09;10043;17
22;2020-03-25;10044;12
23;2020-04-04;10044;46
24;2020-04-21;10044;12
25;2020-04-30;10046;11
26;2020-03-21;1053;12
27;2020-03-30;1053;12
28;2020-04-02;1053;21
29;2020-04-11;1053;15
30;2020-04-22;1053;12
31;2020-04-07;1056;46
32;2020-03-30;1058;11
33;2020-03-31;1059;11
34;2020-05-21;1059;16
35;2020-03-31;1060;13
36;2020-05-07;1060;18
37;2020-05-03;1061;48
38;2020-05-05;1061;29
39;2020-04-07;1062;12
40;2020-04-13;1062;70
41;2020-03-05;11000;11
42;2020-03-08;11000;11
43;2020-05-09;11000;17
44;2020-05-18;11000;33
45;2020-05-22;11000;37
46;2020-05-25;11000;18
47;2020-03-17;11001;20
48;2020-03-31;11001;46
49;2020-04-06;11001;36
50;2020-04-27;11001;16
51;2020-05-19;11001;13
52;2020-03-18;11002;19
53;2020-03-16;11003;14
54;2020-04-30;11003;12
55;2020-05-18;11003;12
56;2020-03-30;11004;37
57;2020-04-06;11004;19
58;2020-04-07;11005;14
59;2020-05-14;11005;18
60;2020-03-28;11006;40
61;2020-03-31;11006;28
62;2020-04-17;11006;13
63;2020-03-23;11007;13
64;2020-04-22;11007;12
65;2020-04-28;11007;12
66;2020-03-23;11008;14
67;2020-04-06;11008;23
68;2020-04-20;11008;12
69;2020-04-27;11008;13
70;2020-05-12;11008;12
71;2020-03-23;11009;12
72;2020-04-18;11009;12
73;2020-03-26;11010;13
74;2020-03-30;11011;19
75;2020-04-05;11011;11
76;2020-04-25;11011;19
77;2020-04-28;11011;12
78;2020-03-23;11012;30
79;2020-03-29;11012;14
80;2020-04-05;11012;25
81;2020-03-12;12000;25
82;2020-03-30;12000;95
83;2020-04-14;12000;54
84;2020-04-27;12000;34
85;2020-05-04;12000;20
86;2020-05-20;12000;12
87;2020-03-30;12054;33
88;2020-04-06;12054;30
89;2020-04-10;12054;49
90;2020-04-15;12054;24
91;2020-04-20;12054;11
92;2020-04-09;12060;53
93;2020-04-21;12060;21
94;2020-04-24;12060;12
95;2020-05-01;12060;11
96;2020-03-25;12061;11
97;2020-03-31;12061;20
98;2020-04-28;12061;17
99;2020-05-05;12061;24
100;2020-03-31;12063;15
101;2020-03-24;12065;12
102;2020-04-17;12065;25
103;2020-03-25;12069;17
104;2020-03-30;12069;14
105;2020-04-14;12069;18
106;2020-04-24;12069;36
107;2020-03-25;12072;14
108;2020-04-07;12072;11
109;2020-03-16;13000;14
110;2020-03-23;13000;13
111;2020-03-31;13000;50
112;2020-04-07;13000;35
113;2020-04-15;13000;11
114;2020-04-28;13000;13
115;2020-03-27;13071;13
116;2020-03-31;13071;13
117;2020-03-10;14000;21
118;2020-05-05;14000;61
119;2020-05-18;14000;18
120;2020-03-29;14511;12
121;2020-04-02;14521;83
122;2020-04-08;14521;27
123;2020-04-10;14521;36
124;2020-04-18;14521;15
125;2020-03-23;14523;12
126;2020-04-12;14523;39
127;2020-03-17;14524;18
128;2020-04-07;14524;21
129;2020-05-05;14524;16
130;2020-03-17;14612;17
131;2020-03-23;14612;17
132;2020-04-17;14612;17
133;2020-04-07;14625;13
134;2020-04-10;14625;20
135;2020-05-05;14625;14
136;2020-05-08;14625;22
137;2020-05-18;14625;11
138;2020-03-25;14626;22
139;2020-04-03;14626;57
140;2020-03-30;14627;12
141;2020-04-21;14627;11
142;2020-03-18;14628;12
143;2020-03-30;14628;26
144;2020-05-19;14628;12
145;2020-03-14;14713;12
146;2020-04-16;14713;17
147;2020-03-23;14729;12
148;2020-03-25;14729;13
149;2020-04-09;14729;23
150;2020-04-01;14730;17
151;2020-04-03;14730;13
152;2020-04-07;14730;14
153;2020-03-16;15000;35
154;2020-03-23;15000;66
155;2020-03-30;15000;72
156;2020-05-05;15000;19
157;2020-03-18;15002;16
158;2020-03-20;15002;18
159;2020-03-30;15002;27
160;2020-04-11;15002;11
161;2020-04-29;15002;11
162;2020-03-23;15003;12
163;2020-04-21;15083;11
